variant benchmark hosts processes schedulers cores workers runtime
Ordered knapPI_12_20_1000_059 4 8 4 5 32 125.32862306
Ordered knapPI_12_20_1000_059 4 8 4 5 32 126.234823006
Ordered knapPI_12_20_1000_059 4 8 4 5 32 132.897840815
Ordered knapPI_12_20_1000_059 8 16 4 5 64 117.210593386
Ordered knapPI_12_20_1000_059 8 16 4 5 64 117.428131183
Ordered knapPI_12_20_1000_059 8 16 4 5 64 117.648451115
Ordered knapPI_12_20_1000_059 8 16 4 5 64 118.725928298
Ordered knapPI_12_20_1000_059 8 16 4 5 64 119.680044094
Ordered knapPI_12_20_1000_059 8 16 4 5 64 121.129595012
Ordered knapPI_12_20_1000_059 8 16 4 5 64 121.514125671
Ordered knapPI_12_20_1000_059 8 16 4 5 64 121.985536174
Ordered knapPI_12_20_1000_059 8 16 4 5 64 125.642867559
Ordered knapPI_12_20_1000_059 8 16 4 5 64 126.851927784
Ordered knapPI_12_20_1000_059 16 32 4 5 128 114.985013837
Ordered knapPI_12_20_1000_059 16 32 4 5 128 115.669340854
Ordered knapPI_12_20_1000_059 16 32 4 5 128 117.367317355
Ordered knapPI_12_20_1000_059 16 32 4 5 128 118.017904308
Ordered knapPI_12_20_1000_059 16 32 4 5 128 118.348496129
Ordered knapPI_12_20_1000_059 16 32 4 5 128 118.424160533
Ordered knapPI_12_20_1000_059 16 32 4 5 128 119.216767937
Ordered knapPI_12_20_1000_059 16 32 4 5 128 119.671288876
Ordered knapPI_12_20_1000_059 16 32 4 5 128 122.104100064
Ordered knapPI_12_20_1000_059 16 32 4 5 128 122.452322135
Ordered knapPI_12_20_1000_059 17 50 4 5 200 118.600028941
Ordered knapPI_12_20_1000_059 17 50 4 5 200 119.713182812
Ordered knapPI_12_20_1000_059 17 50 4 5 200 120.137660214
Ordered knapPI_12_20_1000_059 17 50 4 5 200 120.290630064
Ordered knapPI_12_20_1000_059 17 50 4 5 200 121.603827105
Ordered knapPI_12_20_1000_059 17 50 4 5 200 121.606523289
Ordered knapPI_12_20_1000_059 17 50 4 5 200 121.749724158
Ordered knapPI_12_20_1000_059 17 50 4 5 200 124.447112393
Ordered knapPI_12_20_1000_059 17 50 4 5 200 125.300612168
Ordered knapPI_12_20_1000_059 17 50 4 5 200 126.460116348
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1828.569690002
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1828.754714932
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1830.823142884
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1831.592196015
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1836.008825558
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1839.076496707
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1850.352081339
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1883.558772307
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1903.827600637
Ordered knapPI_12_50_1000_018 1 1 1 2 1 1914.054366763
Ordered knapPI_12_50_1000_018 1 1 2 3 2 1005.484857952
Ordered knapPI_12_50_1000_018 1 1 2 3 2 1009.133837629
Ordered knapPI_12_50_1000_018 1 1 2 3 2 1011.7402573
Ordered knapPI_12_50_1000_018 1 1 2 3 2 1012.07494839
Ordered knapPI_12_50_1000_018 1 1 2 3 2 1012.613050043
Ordered knapPI_12_50_1000_018 1 1 2 3 2 1012.626612292
Ordered knapPI_12_50_1000_018 1 1 2 3 2 1015.856790912
Ordered knapPI_12_50_1000_018 1 1 2 3 2 995.584095713
Ordered knapPI_12_50_1000_018 1 1 2 3 2 997.154282604
Ordered knapPI_12_50_1000_018 1 1 2 3 2 998.296077875
Ordered knapPI_12_50_1000_018 1 1 4 5 4 542.359765383
Ordered knapPI_12_50_1000_018 1 1 4 5 4 548.453977851
Ordered knapPI_12_50_1000_018 1 1 4 5 4 548.816583682
Ordered knapPI_12_50_1000_018 1 1 4 5 4 550.862215798
Ordered knapPI_12_50_1000_018 1 1 4 5 4 551.718503736
Ordered knapPI_12_50_1000_018 1 1 4 5 4 551.749681237
Ordered knapPI_12_50_1000_018 1 1 4 5 4 552.519534983
Ordered knapPI_12_50_1000_018 1 1 4 5 4 552.683162674
Ordered knapPI_12_50_1000_018 1 1 4 5 4 558.754046942
Ordered knapPI_12_50_1000_018 1 1 4 5 4 560.683531353
Ordered knapPI_12_50_1000_018 2 2 4 5 8 280.662226321
Ordered knapPI_12_50_1000_018 2 2 4 5 8 281.43229413
Ordered knapPI_12_50_1000_018 2 2 4 5 8 283.029587067
Ordered knapPI_12_50_1000_018 2 2 4 5 8 283.179974681
Ordered knapPI_12_50_1000_018 2 2 4 5 8 284.669071688
Ordered knapPI_12_50_1000_018 2 2 4 5 8 285.388680743
Ordered knapPI_12_50_1000_018 2 2 4 5 8 285.720285889
Ordered knapPI_12_50_1000_018 2 2 4 5 8 286.30787319
Ordered knapPI_12_50_1000_018 2 2 4 5 8 286.912508818
Ordered knapPI_12_50_1000_018 2 2 4 5 8 287.055006207
Ordered knapPI_12_50_1000_018 4 8 4 5 32 75.318979954
