variant benchmark hosts processes schedulers cores workers runtime
Ordered rand_37_6160 4 8 4 5 32 226.268358574
Ordered rand_37_6160 4 8 4 5 32 226.655463378
Ordered rand_37_6160 4 8 4 5 32 227.889275782
Ordered rand_37_6160 4 8 4 5 32 229.29572717
Ordered rand_37_6160 4 8 4 5 32 231.119819345
Ordered rand_37_6160 4 8 4 5 32 231.681390222
Ordered rand_37_6160 4 8 4 5 32 233.444992591
Ordered rand_37_6160 4 8 4 5 32 233.49184733
Ordered rand_37_6160 4 8 4 5 32 235.938256899
Ordered rand_37_6160 4 8 4 5 32 237.40134209
Ordered rand_37_6160 8 16 4 5 64 186.235639934
Ordered rand_37_6160 8 16 4 5 64 187.605596607
Ordered rand_37_6160 8 16 4 5 64 188.046014502
Ordered rand_37_6160 8 16 4 5 64 189.988891647
Ordered rand_37_6160 8 16 4 5 64 191.017031004
Ordered rand_37_6160 8 16 4 5 64 191.237636117
Ordered rand_37_6160 8 16 4 5 64 193.534443187
Ordered rand_37_6160 8 16 4 5 64 196.696700153
Ordered rand_37_6160 8 16 4 5 64 198.261356936
Ordered rand_37_6160 8 16 4 5 64 220.819854258
Ordered rand_37_6160 16 32 4 5 128 164.972708877
Ordered rand_37_6160 16 32 4 5 128 165.190665808
Ordered rand_37_6160 16 32 4 5 128 165.259807213
Ordered rand_37_6160 16 32 4 5 128 165.697583269
Ordered rand_37_6160 16 32 4 5 128 165.742578648
Ordered rand_37_6160 16 32 4 5 128 166.076434932
Ordered rand_37_6160 16 32 4 5 128 167.694663069
Ordered rand_37_6160 16 32 4 5 128 167.789394974
Ordered rand_37_6160 16 32 4 5 128 168.47934083
Ordered rand_37_6160 16 32 4 5 128 171.061756782
Ordered rand_37_6160 17 50 4 5 200 160.621596372
Ordered rand_37_6160 17 50 4 5 200 162.44950384
Ordered rand_37_6160 17 50 4 5 200 162.629784161
Ordered rand_37_6160 17 50 4 5 200 163.061754511
Ordered rand_37_6160 17 50 4 5 200 163.937750547
Ordered rand_37_6160 17 50 4 5 200 164.919212498
Ordered rand_37_6160 17 50 4 5 200 164.957274318
Ordered rand_37_6160 17 50 4 5 200 164.989215276
Ordered rand_37_6160 17 50 4 5 200 165.136150545
Ordered rand_37_6160 17 50 4 5 200 165.744720681
Ordered rand_38_37183 1 1 1 2 1 1337.619404734
Ordered rand_38_37183 1 1 1 2 1 1338.408781276
Ordered rand_38_37183 1 1 1 2 1 1344.117731723
Ordered rand_38_37183 1 1 1 2 1 1345.204344647
Ordered rand_38_37183 1 1 1 2 1 1352.971935788
Ordered rand_38_37183 1 1 1 2 1 1353.694600466
Ordered rand_38_37183 1 1 1 2 1 1359.565314598
Ordered rand_38_37183 1 1 1 2 1 1372.404016864
Ordered rand_38_37183 1 1 1 2 1 1393.982041936
Ordered rand_38_37183 1 1 1 2 1 1419.091789393
Ordered rand_38_37183 1 1 2 3 2 686.976030203
Ordered rand_38_37183 1 1 2 3 2 697.283484029
Ordered rand_38_37183 1 1 2 3 2 698.065869989
Ordered rand_38_37183 1 1 2 3 2 698.155394653
Ordered rand_38_37183 1 1 2 3 2 698.818155844
Ordered rand_38_37183 1 1 2 3 2 699.333143929
Ordered rand_38_37183 1 1 2 3 2 701.635049364
Ordered rand_38_37183 1 1 2 3 2 701.846347802
Ordered rand_38_37183 1 1 2 3 2 702.407274393
Ordered rand_38_37183 1 1 2 3 2 702.938459824
Ordered rand_38_37183 1 1 4 5 4 442.469467922
Ordered rand_38_37183 1 1 4 5 4 443.868902957
Ordered rand_38_37183 1 1 4 5 4 443.93329457
Ordered rand_38_37183 1 1 4 5 4 444.923112969
Ordered rand_38_37183 1 1 4 5 4 445.031695102
Ordered rand_38_37183 1 1 4 5 4 445.346003736
Ordered rand_38_37183 1 1 4 5 4 446.560842903
Ordered rand_38_37183 1 1 4 5 4 449.465643477
Ordered rand_38_37183 1 1 4 5 4 449.568522494
Ordered rand_38_37183 1 1 4 5 4 451.131228215
Ordered rand_38_37183 2 2 4 5 8 242.342559964
Ordered rand_38_37183 2 2 4 5 8 268.793755885
Ordered rand_38_37183 2 2 4 5 8 281.3219161
Ordered rand_38_37183 2 2 4 5 8 281.798642925
Ordered rand_38_37183 2 2 4 5 8 283.392018623
Ordered rand_38_37183 2 2 4 5 8 283.995456986
Ordered rand_38_37183 2 2 4 5 8 284.019111635
Ordered rand_38_37183 2 2 4 5 8 289.680501384
Ordered rand_38_37183 2 2 4 5 8 290.979309152
Ordered rand_38_37183 2 2 4 5 8 293.379631587
Ordered rand_38_37183 4 8 4 5 32 107.873404562
Ordered rand_38_37183 4 8 4 5 32 108.431516022
Ordered rand_38_37183 4 8 4 5 32 108.516427022
Ordered rand_38_37183 4 8 4 5 32 108.612249525
Ordered rand_38_37183 4 8 4 5 32 108.636348219
Ordered rand_38_37183 4 8 4 5 32 109.390672099
Ordered rand_38_37183 4 8 4 5 32 109.721427621
Ordered rand_38_37183 4 8 4 5 32 110.301201493
Ordered rand_38_37183 4 8 4 5 32 110.945644398
Ordered rand_38_37183 4 8 4 5 32 111.730835705
Ordered rand_38_37183 8 16 4 5 64 101.085588669
Ordered rand_38_37183 8 16 4 5 64 101.350071066
Ordered rand_38_37183 8 16 4 5 64 101.770228725
Ordered rand_38_37183 8 16 4 5 64 101.814524556
Ordered rand_38_37183 8 16 4 5 64 103.40290998
Ordered rand_38_37183 8 16 4 5 64 111.651859744
Ordered rand_38_37183 8 16 4 5 64 99.195733814
Ordered rand_38_37183 8 16 4 5 64 99.779008276
Ordered rand_38_37183 8 16 4 5 64 99.806445115
Ordered rand_38_37183 8 16 4 5 64 99.916454382
Ordered rand_38_37183 16 32 4 5 128 102.22997047
Ordered rand_38_37183 16 32 4 5 128 93.650082426
Ordered rand_38_37183 16 32 4 5 128 94.903892051
Ordered rand_38_37183 16 32 4 5 128 95.0787384
Ordered rand_38_37183 16 32 4 5 128 95.774450362
Ordered rand_38_37183 16 32 4 5 128 96.723342349
Ordered rand_38_37183 16 32 4 5 128 96.819061183
Ordered rand_38_37183 16 32 4 5 128 97.880422321
Ordered rand_38_37183 16 32 4 5 128 98.180327762
Ordered rand_38_37183 16 32 4 5 128 99.12676425
Ordered rand_38_37183 17 50 4 5 200 100.783065292
Ordered rand_38_37183 17 50 4 5 200 94.39768022
Ordered rand_38_37183 17 50 4 5 200 95.123824994
Ordered rand_38_37183 17 50 4 5 200 96.078165775
Ordered rand_38_37183 17 50 4 5 200 96.141883522
Ordered rand_38_37183 17 50 4 5 200 96.37281741
Ordered rand_38_37183 17 50 4 5 200 96.807631161
Ordered rand_38_37183 17 50 4 5 200 96.971438144
Ordered rand_38_37183 17 50 4 5 200 97.320022915
Ordered rand_38_37183 17 50 4 5 200 97.643282053
Ordered rand_39_50212 1 1 1 2 1 1978.004340523
