variant benchmark hosts processes schedulers cores workers runtime
Ordered brock800_1 16 32 4 5 128 115.15963892
Ordered brock800_1 16 32 4 5 128 116.159125552
Ordered brock800_1 16 32 4 5 128 116.523739308
Ordered brock800_1 16 32 4 5 128 116.559748445
Ordered brock800_1 16 32 4 5 128 116.888148625
Ordered brock800_1 16 32 4 5 128 116.890841572
Ordered brock800_1 16 32 4 5 128 116.976872859
Ordered brock800_1 16 32 4 5 128 122.047800417
Ordered brock800_1 17 50 4 5 200 90.101570461
Ordered brock800_1 17 50 4 5 200 90.60906546
Ordered brock800_1 17 50 4 5 200 91.157894102
Ordered brock800_1 17 50 4 5 200 91.37477504
Ordered brock800_1 17 50 4 5 200 91.711491143
Ordered brock800_1 17 50 4 5 200 92.071798308
Ordered brock800_1 17 50 4 5 200 92.535497818
Ordered brock800_1 17 50 4 5 200 92.706038369
Ordered brock800_1 17 50 4 5 200 93.377624212
Ordered brock800_1 17 50 4 5 200 95.364849554
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 1 2 1 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 2 3 2 NA
Ordered brock800_2 1 1 4 5 4 3230.937936483
Ordered brock800_2 1 1 4 5 4 3240.553204278
Ordered brock800_2 1 1 4 5 4 3253.76733103
Ordered brock800_2 1 1 4 5 4 3256.87486682
Ordered brock800_2 1 1 4 5 4 3258.05717479
Ordered brock800_2 1 1 4 5 4 3274.876997979
Ordered brock800_2 1 1 4 5 4 3284.904704107
Ordered brock800_2 1 1 4 5 4 3290.091843445
Ordered brock800_2 1 1 4 5 4 3292.335263606
