instance hosts processes threads workersPerProc totalWorkers runtime maxclique
sanr400_0.7 17 50 5 4 200 3.292 21
sanr400_0.7 17 50 5 4 200 3.751 21
sanr400_0.7 17 50 5 4 200 2.63 21
brock400_4 1 1 2 1 1 73.472 33
brock400_4 1 1 2 1 1 80.948 33
brock400_1 1 1 3 2 2 186.148 27
brock400_4 1 1 3 2 2 59.597 33
brock400_4 1 1 3 2 2 63.135 33
brock400_4 1 1 3 2 2 59.524 33
brock400_4 1 1 3 2 2 61.941 33
brock400_4 1 1 3 2 2 61.728 33
brock400_4 1 1 5 4 4 59.457 33
brock400_4 1 1 5 4 4 55.454 33
brock400_4 1 1 5 4 4 58.856 33
brock400_4 1 1 5 4 4 52.869 33
brock400_4 1 1 5 4 4 56.381 33
brock400_1 1 1 3 2 2 175.665 27
brock800_1 1 1 2 1 1 3049.58 23
brock800_1 1 1 2 1 1 3041.87 23
brock800_1 1 1 2 1 1 3048.69 23
brock800_1 1 1 2 1 1 3039.21 23
brock800_1 1 1 2 1 1 3041.59 23
brock800_1 1 1 3 2 2 2256.6 23
brock800_1 1 1 3 2 2 2307.68 23
brock800_1 1 1 3 2 2 2264.43 23
brock800_1 1 1 3 2 2 2276.69 23
brock800_1 1 1 3 2 2 2244.68 23
brock400_1 1 1 3 2 2 187.884 27
brock800_1 1 1 5 4 4 2136.57 23
brock800_1 1 1 5 4 4 2199.01 23
brock800_1 1 1 5 4 4 2115.95 23
brock800_1 1 1 5 4 4 2218.56 23
brock800_1 1 1 5 4 4 2192.48 23
brock800_2 1 1 2 1 1 3082.04 24
brock800_2 1 1 2 1 1 3099.2 24
brock800_2 1 1 2 1 1 3091.1 24
brock800_2 1 1 2 1 1 3107.43 24
brock800_2 1 1 2 1 1 3076.1 24
brock400_1 1 1 3 2 2 198.167 27
brock800_2 1 1 3 2 2 2408.19 24
brock800_2 1 1 3 2 2 2428.5 24
brock800_2 1 1 3 2 2 2372.39 24
brock800_2 1 1 3 2 2 2353.69 24
brock800_2 1 1 3 2 2 2464.14 24
brock800_2 1 1 5 4 4 2409.66 24
brock800_2 1 1 5 4 4 2195.49 24
brock800_2 1 1 5 4 4 2147.94 24
brock800_2 1 1 5 4 4 2328.66 24
brock800_2 1 1 5 4 4 2230.44 24
brock400_1 1 1 3 2 2 181.814 27
brock800_3 1 1 2 1 1 2884.72 25
brock800_3 1 1 2 1 1 2881.09 25
brock800_3 1 1 2 1 1 2829.09 25
brock800_3 1 1 2 1 1 2885.39 25
brock800_3 1 1 2 1 1 2893.7 25
brock800_3 1 1 3 2 2 2254.76 25
brock800_3 1 1 3 2 2 2244.66 25
brock800_3 1 1 3 2 2 2175.1 25
brock800_3 1 1 3 2 2 2183.14 25
brock800_3 1 1 3 2 2 2168.98 25
p_hat1000-2 1 1 2 1 1 146.798 46
p_hat1000-2 1 1 2 1 1 147.409 46
p_hat1000-2 1 1 2 1 1 147.536 46
p_hat1000-2 1 1 2 1 1 148.816 46
p_hat1000-2 1 1 2 1 1 149.568 46
p_hat1000-2 1 1 3 2 2 84.134 46
p_hat1000-2 1 1 3 2 2 84.684 46
p_hat1000-2 1 1 3 2 2 85.114 46
p_hat1000-2 1 1 3 2 2 85.479 46
p_hat1000-2 1 1 3 2 2 86.387 46
p_hat1000-2 1 1 5 4 4 112.263 46
p_hat1000-2 1 1 5 4 4 112.505 46
p_hat1000-2 1 1 5 4 4 115.566 46
p_hat1000-2 1 1 5 4 4 116.317 46
p_hat1000-2 1 1 5 4 4 116.765 46
p_hat1000-2 16 32 5 4 128 15.129 46
p_hat1000-2 16 32 5 4 128 8.067 46
p_hat1000-2 16 32 5 4 128 8.88 46
p_hat1000-2 16 32 5 4 128 9.251 46
p_hat1000-2 16 32 5 4 128 9.974 46
p_hat1000-2 17 50 5 4 200 10.357 46
p_hat1000-2 17 50 5 4 200 11.528 46
p_hat1000-2 17 50 5 4 200 11.637 46
p_hat1000-2 17 50 5 4 200 15.667 46
