instance hosts processes schedulers cores totalWorkers runtime
brock800_3 1 1 2 3 2 6446.087979413
brock800_3 1 1 2 3 2 6666.108031664
brock800_3 1 1 2 3 2 6727.412980371
brock800_3 1 1 4 5 4 1486.866228903
brock800_3 1 1 4 5 4 1835.18685938
brock800_3 1 1 4 5 4 2459.098699464
brock800_3 1 1 4 5 4 3565.338425586
brock800_3 1 1 4 5 4 1537.221894606
brock800_3 1 1 4 5 4 3639.420690125
brock800_3 1 1 4 5 4 3639.804453852
brock800_3 1 1 4 5 4 3628.969747051
brock800_3 1 1 4 5 4 3656.442195865
brock800_3 1 1 4 5 4 3642.102914854
brock800_3 2 2 4 5 8 1776.834970035
brock800_3 2 2 4 5 8 1791.5816464
brock800_3 2 2 4 5 8 1818.824980479
brock800_3 2 2 4 5 8 1824.264443731
brock800_3 2 2 4 5 8 1833.211672424
brock800_3 2 2 4 5 8 1834.385008276
brock800_3 2 2 4 5 8 1839.814746134
brock800_3 2 2 4 5 8 1848.695136762
brock800_3 2 2 4 5 8 1854.654124972
brock800_3 2 2 4 5 8 1865.967564156
brock800_3 4 8 4 5 32 197.50151679
brock800_3 4 8 4 5 32 446.371431004
brock800_3 4 8 4 5 32 450.427985755
brock800_3 4 8 4 5 32 457.752897244
brock800_3 4 8 4 5 32 461.400914711
brock800_3 4 8 4 5 32 462.821105815
brock800_3 4 8 4 5 32 464.564568098
brock800_3 4 8 4 5 32 468.095497831
brock800_3 4 8 4 5 32 468.740909168
brock800_3 4 8 4 5 32 477.179400233
brock800_3 8 16 4 5 64 227.169062398
brock800_3 8 16 4 5 64 230.606821761
brock800_3 8 16 4 5 64 231.150078581
brock800_3 8 16 4 5 64 232.143946034
brock800_3 8 16 4 5 64 232.764873917
brock800_3 8 16 4 5 64 234.370376654
brock800_3 8 16 4 5 64 234.417603082
brock800_3 8 16 4 5 64 235.628871358
brock800_3 8 16 4 5 64 236.325393829
brock800_3 8 16 4 5 64 237.699437831
brock800_3 16 32 4 5 128 113.729777923
brock800_3 16 32 4 5 128 115.922255622
brock800_3 16 32 4 5 128 117.163636781
brock800_3 16 32 4 5 128 117.635894167
brock800_3 16 32 4 5 128 118.101382009
brock800_3 16 32 4 5 128 120.808664261
brock800_3 16 32 4 5 128 121.561110303
brock800_3 16 32 4 5 128 121.976758185
brock800_3 16 32 4 5 128 123.881733741
brock800_3 16 32 4 5 128 126.316310314
brock800_3 17 50 4 5 200 81.601503448
brock800_3 17 50 4 5 200 83.893275384
brock800_3 17 50 4 5 200 90.930623706
brock800_3 17 50 4 5 200 90.95898473
brock800_3 17 50 4 5 200 91.219518456
brock800_3 17 50 4 5 200 91.750554793
brock800_3 17 50 4 5 200 92.437142328
brock800_3 17 50 4 5 200 92.530766712
brock800_3 17 50 4 5 200 93.097297826
brock800_3 17 50 4 5 200 93.772893082
brock800_4 1 1 1 2 1 18878.144978254
brock800_4 1 1 1 2 1 19244.402620466
brock800_4 1 1 1 2 1 19823.817457692
brock800_4 1 1 1 2 1 19862.962683131
brock800_4 1 1 1 2 1 19884.720294169
brock800_4 1 1 1 2 1 18766.035988208
brock800_4 1 1 1 2 1 19396.67686278
brock800_4 1 1 1 2 1 19497.52986327
brock800_4 1 1 1 2 1 19815.145914071
brock800_4 1 1 1 2 1 19893.710280537
brock800_4 1 1 2 3 2 10038.711464041
brock800_4 1 1 2 3 2 10076.193284559
brock800_4 1 1 2 3 2 10104.124872174
brock800_4 1 1 2 3 2 10163.09253528
brock800_4 1 1 2 3 2 9991.484080014
brock800_4 1 1 2 3 2 10086.527105324
brock800_4 1 1 2 3 2 10091.396371191
brock800_4 1 1 2 3 2 10201.71788073
brock800_4 1 1 2 3 2 10315.000917812
brock800_4 1 1 2 3 2 9203.795599018
brock800_4 1 1 4 5 4 2129.727676775
brock800_4 1 1 4 5 4 4936.726785288
brock800_4 1 1 4 5 4 5037.332935626
brock800_4 1 1 4 5 4 5533.063681823
brock800_4 1 1 4 5 4 5558.499607711
brock800_4 1 1 4 5 4 5589.058695525
brock800_4 1 1 4 5 4 5601.128990624
brock800_4 1 1 4 5 4 5637.077348118
brock800_4 1 1 4 5 4 5675.833842759
brock800_4 1 1 4 5 4 5736.18447469
brock800_4 2 2 4 5 8 2519.168257668
brock800_4 2 2 4 5 8 2529.847358793
brock800_4 2 2 4 5 8 2558.753367047
brock800_4 2 2 4 5 8 2568.882626613
brock800_4 2 2 4 5 8 2810.179920835
brock800_4 2 2 4 5 8 2822.721197301
brock800_4 2 2 4 5 8 2835.517909869
brock800_4 2 2 4 5 8 2850.735454229
brock800_4 2 2 4 5 8 2857.092263064
brock800_4 2 2 4 5 8 2878.425592614
brock800_4 4 8 4 5 32 638.811931787
brock800_4 4 8 4 5 32 652.484063905
brock800_4 4 8 4 5 32 656.474413109
brock800_4 4 8 4 5 32 674.460687841
brock800_4 4 8 4 5 32 704.582988831
brock800_4 4 8 4 5 32 711.923606691
brock800_4 4 8 4 5 32 712.983576929
brock800_4 4 8 4 5 32 714.768391238
brock800_4 4 8 4 5 32 726.475372335
brock800_4 4 8 4 5 32 728.743172244
brock800_4 8 16 4 5 64 315.165198512
brock800_4 8 16 4 5 64 329.737030298
brock800_4 8 16 4 5 64 330.253473579
brock800_4 8 16 4 5 64 355.326593179
brock800_4 8 16 4 5 64 358.940897165
brock800_4 8 16 4 5 64 366.312888852
brock800_4 8 16 4 5 64 371.86251757
brock800_4 8 16 4 5 64 373.238890207
brock800_4 8 16 4 5 64 374.753462897
brock800_4 8 16 4 5 64 69.274057345
brock800_4 16 32 4 5 128 157.19903394
brock800_4 16 32 4 5 128 162.830414645
brock800_4 16 32 4 5 128 163.967508226
brock800_4 16 32 4 5 128 169.072442863
